drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon
sedative_misuse,100,30,0.7,0.0,0.0,0.0,0.0022650314841053815,0.00023816516211419697,7.140439188448158e-05,0.10514872035355613,0.03152467962832055,0.0,0.16819123240061928,173729,0.042117320654582714,10
sedative_misuse,50,30,0.7,0.0,0.0,0.0,0.0012655581992671782,0.0001326355290095188,8.742692428891389e-05,0.10480397431451309,0.06908170982538651,0.0,0.08411959626839256,173729,0.042117320654582714,10
sedative_misuse,30,30,0.7,0.0,0.0,0.0,0.0010434308413116845,6.945270041355123e-05,6.945270041355123e-05,0.06656186271650075,0.06656186271650075,0.0,0.0693666781336821,173729,0.042117320654582714,10
stimulant_misuse,1500,30,0.7,0.0,0.0,0.0,0.01592775607778463,0.003006608760161481,8.91279064667086e-05,0.18876536942670621,0.005595760384039311,0.0,0.5403230178522054,173729,0.0796470364763511,10
stimulant_misuse,1000,30,0.7,0.0,0.0,0.0,0.012124752119584714,0.0020239616868186535,6.390346567001148e-05,0.16692808783689808,0.005270496669931116,0.0,0.5185541510238497,173729,0.0796470364763511,10
stimulant_misuse,500,30,0.7,0.0,0.0,0.0,0.007818417548869859,0.0010473800770769183,6.279855579335712e-05,0.13396317995683354,0.008032131233824236,0.0,0.4086522782623765,173729,0.0796470364763511,10
stimulant_misuse,200,30,0.7,0.0,0.0,0.0,0.003629660856643494,0.0005607402328029692,0.0001054801909479838,0.15448832685748778,0.02906061891565427,0.0,0.3110069354915299,173729,0.0796470364763511,10
stimulant_misuse,100,30,0.7,0.0,0.0,0.0,0.002304968259699506,0.00026496445484440386,9.185592748805517e-05,0.11495362408111717,0.039851276520410844,0.0,0.16819123240061928,173729,0.0796470364763511,10
stimulant_misuse,50,30,0.7,0.0,0.0,0.0,0.001254592194212697,0.00012682631381013133,4.995403122747322e-05,0.10108967232154631,0.039816947258165605,0.0,0.08411959626839256,173729,0.0796470364763511,10
stimulant_misuse,30,30,0.7,0.0,0.0,0.0,0.0005854983873083533,8.552092934179754e-05,8.552092934179754e-05,0.14606518343279032,0.14606518343279032,0.0,0.0693666781336821,173729,0.0796470364763511,10
pain_reliever_misuse,1500,30,0.7,0.0003458113599031728,0.0,0.0,0.023520663172851564,0.0030866928674222497,7.288980114488353e-05,0.1312332413732716,0.0030989687922156756,0.0,0.5403230178522054,173729,0.22173039619176993,10
pain_reliever_misuse,1000,30,0.7,0.0,0.0,0.0,0.01922367584764243,0.0021604556127673394,6.984987812431488e-05,0.11238514579053803,0.003633533912968117,0.0,0.5185541510238497,173729,0.22173039619176993,10
pain_reliever_misuse,500,30,0.7,0.0,0.0,0.0,0.012303337969255356,0.001119089380761975,4.74746088123955e-05,0.09095819228557749,0.003858677127380322,0.0,0.4086522782623765,173729,0.22173039619176993,10
pain_reliever_misuse,200,30,0.7,0.0,0.0,0.0,0.006954349431137591,0.0004900410911558419,8.328217714197227e-05,0.07046541103639668,0.011975552561262223,0.0,0.3110069354915299,173729,0.22173039619176993,10
pain_reliever_misuse,100,30,0.7,0.0,0.0,0.0,0.005159972770787289,0.00019024500846583265,5.142940061561379e-05,0.036869382246140385,0.009966990699403804,0.0,0.16819123240061928,173729,0.22173039619176993,10
pain_reliever_misuse,50,30,0.7,0.0,0.0,0.0,0.0033416122477283802,0.00015705597262382013,7.931353909588397e-05,0.04700005894776882,0.023735111442029555,0.0,0.08411959626839256,173729,0.22173039619176993,10
pain_reliever_misuse,30,30,0.7,0.0,0.0,0.0,0.002812727585358608,8.895646695258967e-05,8.895646695258972e-05,0.03162640684282555,0.03162640684282557,0.0,0.0693666781336821,173729,0.22173039619176993,10
